episode,scenario,timesteps,reward,distance,collision,pedestrian_collision,blocker_collision,wall_collision,dilemma_decision,pedestrians_hit,episode_outcome,collision_actor_type
412,Scenario02,1068,-603.73,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
413,Scenario02,1030,-610.38,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
414,Scenario02,1443,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0014
415,Scenario02,1200,-911.07,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
416,Scenario02,1106,-602.48,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
417,Scenario02,691,-620.94,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
418,Scenario02,742,-619.50,18.00,True,False,False,True,none,0,wall_collision,static.vegetation
419,Scenario02,1025,-603.95,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
420,Scenario02,688,-621.78,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
421,Scenario02,590,-620.55,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
422,Scenario02,1181,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0008
423,Scenario02,1174,-603.19,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
424,Scenario02,1000,-606.53,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
425,Scenario02,1043,-611.11,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
426,Scenario02,1175,-606.38,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
427,Scenario02,1115,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0004
428,Scenario02,1227,-612.50,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
429,Scenario02,1075,-601.77,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
430,Scenario02,1209,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0001
431,Scenario02,1073,-899.61,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
432,Scenario02,1134,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0012
433,Scenario02,1051,-599.70,20.00,True,False,False,True,none,0,wall_collision,static.fence
434,Scenario02,947,-599.76,16.00,True,False,False,True,none,0,wall_collision,static.vegetation
435,Scenario02,944,-610.54,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
436,Scenario02,1089,-904.94,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0003
437,Scenario02,1105,-599.60,27.00,True,False,False,True,none,0,wall_collision,static.fence
438,Scenario02,1162,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
439,Scenario02,1128,-602.16,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
440,Scenario02,1238,-611.84,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
441,Scenario02,998,-599.61,26.00,True,False,False,True,none,0,wall_collision,static.fence
442,Scenario02,866,-599.76,16.00,True,False,False,True,none,0,wall_collision,static.vegetation
443,Scenario02,1110,-601.01,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
444,Scenario02,1095,-607.68,26.00,True,False,False,True,none,0,wall_collision,static.fence
445,Scenario02,1097,-608.34,26.00,True,False,False,True,none,0,wall_collision,static.fence
446,Scenario02,1127,-602.29,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
447,Scenario02,1136,-899.10,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0009
448,Scenario02,907,-599.77,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
449,Scenario02,1161,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
450,Scenario02,641,-599.84,11.00,True,False,False,True,none,0,wall_collision,static.fence
451,Scenario02,1164,-901.97,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0012
452,Scenario02,726,-616.92,16.00,True,False,False,True,none,0,wall_collision,static.vegetation
453,Scenario02,1036,-908.30,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0004
454,Scenario02,1066,-599.87,23.00,True,False,False,True,none,0,wall_collision,static.fence
455,Scenario02,1164,-605.66,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
456,Scenario02,1274,-598.12,25.00,True,False,False,True,none,0,wall_collision,static.fence
457,Scenario02,1233,-605.15,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
458,Scenario02,1129,-605.39,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
459,Scenario02,1164,-900.96,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0003
460,Scenario02,1212,-610.26,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
461,Scenario02,969,-599.68,21.00,True,False,False,True,none,0,wall_collision,static.fence
462,Scenario02,702,-615.18,16.00,True,False,False,True,none,0,wall_collision,static.vegetation
463,Scenario02,1099,-599.61,26.00,True,False,False,True,none,0,wall_collision,static.fence
464,Scenario02,558,-619.17,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
465,Scenario02,1309,-610.48,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
466,Scenario02,1093,-611.17,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
467,Scenario02,1105,-409.49,27.00,True,True,False,False,left_one,1,left_one,walker.pedestrian.0011
468,Scenario02,928,-599.22,19.00,True,False,False,True,none,0,wall_collision,static.fence
469,Scenario02,1130,-601.69,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
470,Scenario02,1237,-899.10,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0009
471,Scenario02,1103,-900.02,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0012
472,Scenario02,1000,-901.88,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0006
473,Scenario02,1028,-610.22,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
474,Scenario02,1179,-907.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0011
475,Scenario02,1077,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0005
476,Scenario02,1293,-599.11,26.00,True,False,False,True,none,0,wall_collision,static.fence
477,Scenario02,551,-618.94,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
478,Scenario02,1176,-419.98,27.00,True,True,False,False,left_one,1,left_one,walker.pedestrian.0003
479,Scenario02,1141,-604.83,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
480,Scenario02,1206,-907.89,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0007
481,Scenario02,1083,-902.54,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0013
482,Scenario02,1363,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0013
483,Scenario02,1044,-604.09,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
484,Scenario02,1140,-899.60,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0003
485,Scenario02,770,-599.77,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
486,Scenario02,1205,-605.55,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
487,Scenario02,1145,-611.68,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
488,Scenario02,1255,-612.44,28.00,True,False,True,False,none,0,blocker_collision,static.prop.container
489,Scenario02,719,-618.54,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
490,Scenario02,634,-617.57,15.00,True,False,False,True,none,0,wall_collision,static.vegetation
491,Scenario02,1329,-900.31,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0009
492,Scenario02,724,-619.14,17.00,True,False,False,True,none,0,wall_collision,static.vegetation
493,Scenario02,1024,-902.15,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0012
494,Scenario02,1332,-904.63,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0002
495,Scenario02,1305,-903.27,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0003
496,Scenario02,1191,-899.10,27.00,True,True,False,False,right_two_a,2,right_two_a,walker.pedestrian.0008
497,Scenario02,1153,-599.11,26.00,True,False,False,True,none,0,wall_collision,static.fence
